date;seqno;query;title;snippet;urlGoogle;pagemap;Id;queryType
20200115;1;Danmarks Statistik contact;Statistics Denmark;"Icon: Customised Solutions - Statistics Denmark. Statistics Denmark Sejrøgade 
11. DK-2100 Copenhagen dst@dst.dk +45 39 17 39 17. Contact · Documentation
 ...";https://www.dst.dk/en;"{""metatags"": [{""viewport"": ""width=device-width, initial-scale=1.0""}]}";1;0
20200115;2;Danmarks Statistik contact;Bilingual English-Danish parallel corpus from Danmarks Statistik ...;"12 Oct 2018 ... Sitemap · Legal notice · Contact. български (bg), español (es) ... Bilingual 
English-Danish parallel corpus from Danmarks Statistik website RDF ...";https://data.europa.eu/euodp/en/data/dataset/elrc_850;"{""metatags"": [{""viewport"": ""width=device-width, initial-scale=1.0, maximum-scale=1, user-scalable=no"", ""og:title"": ""Bilingual English-Danish parallel corpus from Danmarks Statistik website - ecodp.common.ckan.site_title"", ""og:description"": ""This dataset has been created within the framework of the European Language Resource Coordination (ELRC) Connecting Europe Facility - Automated Translation (CEF.AT) action SMART 2014/1074). For...""}]}";1;0
20200115;3;Danmarks Statistik contact;Contact Statistics Denmark - Statistics Denmark - Danmarks Statistik;"Contact Statistics Denmark. Address: Statistics Denmark Sejrøgade 11. DK-2100 
Copenhagen. Show map. Email: dst@dst.dk. Telephone: +45 39 17 39 17.";https://www.dst.dk/en/kontakt;"{""cse_thumbnail"": [{""src"": ""https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRYsrApd092oQS9Jpb45kFqzDseFjq9lbvCskgvDZ1wD7QLCceCLsynxQ"", ""width"": ""120"", ""height"": ""62""}], ""metatags"": [{""og:image"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png"", ""twitter:card"": ""summary_large_image"", ""og:image:width"": ""120"", ""twitter:site"": ""@DSTdk"", ""cludo:manualurl"": ""https://www.dst.dk/en/kontakt"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""dcterms.title"": ""Contact Statistics Denmark"", ""og:title"": ""Contact Statistics Denmark"", ""cludo:categorydst"": ""_None"", ""og:image:height"": ""62"", ""og:description"": ""Address:\nStatistics Denmark\nSejr\u00f8gade 11 DK-2100 Copenhagen\nShow map\nEmail:\u00a0dst@dst.dk\nTelephone:\u00a0+45 39 17 39 17\nPhone hours are Monday to Thursday at 9:00 AM\u00a0to 4."", ""cludo:title"": ""Contact Statistics Denmark""}], ""cse_image"": [{""src"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png""}]}";1;0
20200115;4;Danmarks Statistik contact;Danmarks Statistik - Data For Good Science;"22 Aug 2019 ... His project... Read More · Data for Good Science logo. Subscribe for updates. 
Contact us at info@dataforgood.science · Privacy Policy ...";https://www.dataforgood.science/tag/danmarks-statistik/;"{""metatags"": [{""og:type"": ""object"", ""twitter:card"": ""summary_large_image"", ""twitter:title"": ""Danmarks Statistik - Data For Good Science"", ""og:site_name"": ""Data For Good Science"", ""viewport"": ""width=device-width,initial-scale=1,user-scalable=no"", ""tec-api-origin"": ""https://www.dataforgood.science"", ""og:title"": ""Danmarks Statistik - Data For Good Science"", ""og:locale"": ""en_GB"", ""og:url"": ""https://www.dataforgood.science/tag/danmarks-statistik/"", ""tec-api-version"": ""v1""}], ""webpage"": [{""image"": ""https://www.dataforgood.science/wp-content/uploads/2018/08/logo.png"", ""author"": ""Pernille Tranberg"", ""name"": ""22 Aug Dutch Professor Will Turn Danish Data into Dynamite"", ""interactioncount"": ""UserComments: 0"", ""description"": ""In the 1990s Danish Dynamite had to do with football. In the 2020s it has to do with personal data. At least according to professor Rudi Westendorp, who has received a grant from the Novo Nordisk..."", ""datecreated"": ""22 Aug"", ""url"": ""https://www.dataforgood.science/""}]}";1;0
20200115;5;Danmarks Statistik contact;Statbank - Statistics Denmark - Danmarks Statistik;"Statbank. The Statbank is our free online tool and database for our statistics. Go 
to Statbank ». Screen shot af statistikbanken - Danmarks Statistik ...";https://www.dst.dk/en/Statistik/statistikbanken;"{""cse_thumbnail"": [{""src"": ""https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRYsrApd092oQS9Jpb45kFqzDseFjq9lbvCskgvDZ1wD7QLCceCLsynxQ"", ""width"": ""120"", ""height"": ""62""}], ""metatags"": [{""og:image"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png"", ""twitter:card"": ""summary_large_image"", ""og:image:width"": ""120"", ""twitter:site"": ""@DSTdk"", ""cludo:manualurl"": ""https://www.dst.dk/en/Statistik/statistikbanken"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""dcterms.title"": ""Statbank"", ""og:title"": ""Statbank"", ""cludo:categorydst"": ""_None"", ""og:image:height"": ""62"", ""og:description"": ""The Statbank is our free online tool and database for our statistics. Go to Statbank \u00bb"", ""cludo:title"": ""Statbank""}], ""cse_image"": [{""src"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png""}]}";1;0
20200115;6;Danmarks Statistik contact;Health - The Mobile Statbank;"Emergency department visits and emergency patients. RegionKey figures
Reason for contactAgeSex. 2006-2018 — number ...";https://m.statbank.dk/Tables/2412;"{""metatags"": [{""viewport"": ""width=320, minimum-scale=1.0, maximum-scale=1.0""}]}";1;0
20200115;7;Danmarks Statistik contact;Find statistics - Statistics Denmark - Danmarks Statistik;"Danmarks Statistik. T: +45 39 17 39 17; E: dst@dst.dk. Statistics Denmark 
Sejrøgade 11. DK-2100 Copenhagen dst@dst.dk +45 39 17 39 17. Contact ...";https://www.dst.dk/en/Statistik;"{""cse_thumbnail"": [{""src"": ""https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRYsrApd092oQS9Jpb45kFqzDseFjq9lbvCskgvDZ1wD7QLCceCLsynxQ"", ""width"": ""120"", ""height"": ""62""}], ""metatags"": [{""og:image"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png"", ""twitter:card"": ""summary_large_image"", ""og:image:width"": ""120"", ""twitter:site"": ""@DSTdk"", ""cludo:manualurl"": ""https://www.dst.dk/en/Statistik"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""dcterms.title"": ""Find statistics"", ""og:title"": ""Find statistics"", ""cludo:categorydst"": ""_None"", ""og:image:height"": ""62"", ""og:description"": ""Danmarks Statistik er den centrale myndighed for dansk statistik. Vores opgave er at indsamle, bearbejde og offentligg\u00f8re statistiske oplysninger om det danske samfund."", ""cludo:title"": ""Find statistics""}], ""cse_image"": [{""src"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png""}]}";1;0
20200115;8;Danmarks Statistik contact;Danmarks Statistik | Apollo;"Danmarks Statistik er den officielle og centrale myndighed for dansk statistik. ... 
Access Contacts, Notable Alumni, Similar Companies, Technologies Used, Job ...";https://www.apollo.io/companies/Danmarks-Statistik/54a13bec69702d218593b501;"{""cse_thumbnail"": [{""src"": ""https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQb_bW-0SxmI7dU7I3RC4B19bjb0QsMCHR99KnRtzVjfn0hcVFxatD2-sA"", ""width"": ""200"", ""height"": ""200""}], ""metatags"": [{""msapplication-tilecolor"": ""#ffffff"", ""og:image"": ""https://zenprospect-production.s3.amazonaws.com/uploads/pictures/5c30353e80f93e773c843d54/picture"", ""twitter:card"": ""summary"", ""theme-color"": ""#ffffff"", ""og:type"": ""website"", ""og:image:alt"": ""Danmarks Statistik Logo"", ""og:image:width"": ""1200"", ""og:site_name"": ""Apollo.io"", ""og:title"": ""Danmarks Statistik"", ""og:image:height"": ""630"", ""msapplication-tileimage"": ""/ms-icon-144x144.png"", ""twitter:creator"": ""@MeetApollo"", ""og:description"": ""Danmarks Statistik er den officielle og centrale myndighed for dansk statistik. Vores opgave er at indsamle, bearbejde og offentligg\u00f8re statistiske oplysninger om det danske samfund. Vi er en statslig institution i Social- og Indenrigsministeriet. Den statistik vi udarbejder ligger frit tilg\u00e6ngeligt p\u00e5 vores hjemmeside. Vi tilbyder ogs\u00e5 en r\u00e6kke l\u00f8sninger mod betaling. De adskiller sig typisk fra vores gratis, offentlige produktion ved enten at v\u00e6re mere detaljerede, indeholde andre kombinationer af data eller decideret v\u00e6re tilpasset den enkelte kundes behov.\\_____________________________________________________________________________\\\\Statistics Denmark is the central authority on Danish statistics. Our mission is to collect, compile and publish statistics on the Danish society. Statistics Denmark is a state institution under the The Ministry of Social Affairs and the Interior. The statistics we produce are freely available on our website. We also offer a range of solutions for payment. They typica"", ""next-head-count"": ""21"", ""twitter:site"": ""@MeetApollo"", ""viewport"": ""width=device-width,minimum-scale=1,initial-scale=1"", ""og:url"": ""https://www.apollo.io/companies/Danmarks-Statistik/54a13bec69702d218593b501?chart=count""}], ""cse_image"": [{""src"": ""https://zenprospect-production.s3.amazonaws.com/uploads/pictures/5c30353e80f93e773c843d54/picture""}]}";1;0
20200115;9;Danmarks Statistik contact;Press - Statistics Denmark - Danmarks Statistik;"Do contact us, if you have any questions regarding our statistical publications: 
Steen Dahl Pedersen - Statistics Denmark. Head of Communication, Steen Dahl
 ...";https://www.dst.dk/en/presse;"{""cse_thumbnail"": [{""src"": ""https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRYsrApd092oQS9Jpb45kFqzDseFjq9lbvCskgvDZ1wD7QLCceCLsynxQ"", ""width"": ""120"", ""height"": ""62""}], ""metatags"": [{""og:image"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png"", ""twitter:card"": ""summary_large_image"", ""og:image:width"": ""120"", ""twitter:site"": ""@DSTdk"", ""cludo:manualurl"": ""https://www.dst.dk/en/presse"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""dcterms.title"": ""Press"", ""og:title"": ""Press"", ""cludo:categorydst"": ""_None"", ""og:image:height"": ""62"", ""og:description"": ""Do contact us, if you have any questions regarding our statistical publications: Head of Communication,\nSteen Dahl Pedersen\nPhone: +45 3917 3161\nMobile: +45 2427 4725\nsdp@dst."", ""cludo:title"": ""Press""}], ""cse_image"": [{""src"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png""}]}";1;0
20200115;10;Danmarks Statistik contact;Emnesider - Danmarks Statistik;"Menu; Find statistik. Find statistik; Find statistik · Emnesider; Statistikbanken. 
Statistikbanken; Statistikbanken · Statistikbank API · Kontakt Danmarks Statistik ...";https://dst.dk/da/Statistik/emner;"{""cse_thumbnail"": [{""src"": ""https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRYsrApd092oQS9Jpb45kFqzDseFjq9lbvCskgvDZ1wD7QLCceCLsynxQ"", ""width"": ""120"", ""height"": ""62""}], ""metatags"": [{""og:image"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png"", ""twitter:card"": ""summary_large_image"", ""og:image:width"": ""120"", ""dcterms.title"": ""Emnesider"", ""og:title"": ""Emnesider"", ""og:image:height"": ""62"", ""dst:metarule"": ""15"", ""og:description"": ""Danmarks Statistik er den centrale myndighed for dansk statistik. Vores opgave er at indsamle, bearbejde og offentligg\u00f8re statistiske oplysninger om det danske samfund."", ""cludo:boost"": ""400"", ""twitter:site"": ""@DSTdk"", ""cludo:manualurl"": ""https://www.dst.dk/da/Statistik/emner"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""cludo:categorydst"": ""Emnesider"", ""cludo:title"": ""Emnesider""}], ""cse_image"": [{""src"": ""https://www.dst.dk/Site/Dst/images/logo_dk.png""}]}";1;0
